commit	sharpe_ratio	total_return	max_drawdown	win_rate	status	description
baseline	-0.186	-1.57%	6.08%	42.9%	keep	Initial strategy: RS>95, MA pullback entry, -8% stop loss, +20% take profit
exp-1	-0.694	-4.77%	6.98%	27.8%	discard	Wider stop -10%, lower take profit +15%: worse Sharpe and win rate
