code,name,latest,change,change_ratio,volume,amount
002428,云南锗业,43.45,3.940000000000005,9.972158947102013,0,0
002384,东山精密,117.0,5.280000000000001,4.726100966702472,0,0
002310,东方新能,3.3,0.13999999999999968,4.430379746835433,0,0
001267,汇绿生态,42.5,1.7299999999999969,4.243316163845957,0,0
002360,同德化工,6.26,0.25,4.15973377703827,0,0
001331,胜通能源,55.28,1.75,3.269194844012703,0,0
002203,海亮股份,13.58,0.3200000000000003,2.4132730015082977,0,0
001389,广合科技,118.5,2.769999999999996,2.3935021169964537,0,0
002281,光迅科技,86.38,1.9599999999999937,2.321724709784404,0,0
002285,世联行,3.43,0.07000000000000028,2.083333333333342,0,0
002150,正泰电源,32.36,0.6499999999999986,2.049826553137807,0,0
